transaction_id,account_id,transaction_type,amount,transaction_date
268109ed-d5e3-4727-a67e-0d3ff3d6d14e,5997,credit,696.56,2022-11-26 15:34:01
f8ba1202-eded-4ba3-8ffd-98a68d12bd8d,5662,credit,281.99,2023-03-11 23:44:28
a1b43a76-9c94-4039-a390-e9340c232c05,3254,debit,-279.65,2022-10-07 02:02:17
0945b774-9ea5-4a07-a1b6-a3e207ae1d42,1414,credit,20.88,2022-11-19 22:57:32
35be0a49-6aac-4869-8a07-ca8954f6a220,1227,debit,-304.26,2022-08-18 02:31:35
7d220d23-7ee2-4770-ae82-a69c0442946c,7303,debit,-973.64,2023-07-03 08:51:58
920d8c5d-fd93-4cee-a9c3-524c43feef0e,8887,credit,315.33,2023-02-21 20:21:24
d5294e51-195b-43c5-acfa-6461ee76014f,7217,debit,-361.24,2023-06-29 12:48:43
bc29a260-21ab-437f-aec4-b102c602b6cf,4244,debit,-276.12,2023-01-03 04:41:50
ef20c488-9ea5-4079-9764-ffa6ffe368d8,1576,credit,error,2023-03-16 11:36:49
5f8b46a6-82ce-413b-8e80-7e99793c8b06,3927,credit,error,2023-02-10 22:14:06
13f6ab70-da3c-47b5-95a0-775a7b8f4346,9159,debit,-764.52,2023-05-10 21:30:23
174c9dc0-1ac5-4b3c-92a2-5588900786d0,7719,debit,-234.39,2023-01-22 22:59:05
c4e5140f-a262-4acc-ac38-b4308ea32bf3,1209,credit,error,2022-10-29 23:34:57
3ec8e87f-eac0-4e1a-8e24-cb8f0d28f149,9591,credit,407.21,2023-04-07 09:35:27
07ae5907-6dcb-4897-a1a9-300ad7158beb,1105,debit,-288.08,2022-12-02 02:35:26
686ac49a-0999-4bee-a986-a769d0d2cf64,9835,credit,665.64,2022-12-19 07:21:50
4332a5ec-7e91-4ba2-93f5-67bad5983c2d,5094,debit,-524.47,2023-07-22 12:01:55
af411e44-3a88-4486-9ee9-62752ce5ded0,2569,debit,-383.06,2023-07-18 12:29:31
31bd446c-d6ab-48f7-a570-859620b24d13,1716,credit,error,2023-01-30 20:25:31
a2aa4db0-b4d1-486d-8c92-890f66646369,4662,debit,-917.45,2023-07-22 13:46:41
9d3fab66-2209-4121-b4d6-4a376c865e0c,2325,debit,-54.75,2023-04-03 02:04:23
ad42f554-741d-43fe-872f-0876ad503148,5774,debit,-538.32,2022-08-19 14:12:54
2102e405-d18a-4bb9-9f5c-1526d2fc6765,5615,debit,-759.92,2023-04-15 20:48:36
ea1c22a4-d91c-43e1-b52d-fe27cca8b9df,1924,credit,655.02,2023-05-03 01:23:03
c615d38e-2da5-41a8-9402-f285e690cac5,2211,debit,-676.96,2023-01-26 05:30:31
cbbba9f8-1683-4b7d-be75-ecaeb0feef4d,3274,debit,-719.93,2023-01-08 14:19:49
4cbfb27d-4596-4bdf-9dc9-b727bd32d4c2,8953,debit,-483.54,2023-04-26 05:03:26
b093f1d6-6233-4098-9166-b99d26892be4,6597,debit,-983.32,2022-11-21 12:26:28
5221aae9-c77d-4fb7-bdcb-60ccdd80266d,1530,debit,-757.69,2023-07-10 22:00:50
1eebd719-4113-43b0-9329-d402b1d2a462,1246,debit,error,2022-10-01 22:55:32
2eebe096-b124-4a73-90ef-cb02a825eb56,5655,debit,-833.07,2022-11-14 06:52:39
579050e6-1697-4d25-8fc5-0ea90e095dc5,3234,debit,-310.24,2023-07-25 07:13:23
14b87bac-9a9f-4953-be06-d8dda15cd0cf,1848,credit,534.7,2022-09-18 21:13:28
2196ce49-16ee-492b-b512-9020c63b6f56,7871,debit,-766.31,2023-07-25 01:34:27
e5e987c0-7521-46a4-aec3-fc54b373ade1,4618,debit,-36.18,2023-07-25 07:54:37
3a520039-6a65-4259-8cdb-e8cf217c644e,1315,credit,359.38,2022-10-22 12:28:40
3d3bdfdd-8bc1-4a2f-aca5-abbb72757950,4132,credit,783.6,2022-12-15 14:38:17
c3bdf0a5-d168-4b62-88d9-dbec75af6eb4,5993,credit,833.5,2023-07-31 03:20:14
79e1b284-6864-435d-bb2f-a43987e36567,5337,debit,-645.62,2023-03-15 11:35:25
5d7c1223-9bf5-43d6-96c1-2f6c22c74686,4607,debit,-357.13,2022-12-16 02:01:26
806ce72b-4633-4223-9f90-095bdc062c1e,5794,credit,339.1,2023-05-16 14:32:39
eb74f639-e38b-4ebc-a20c-11daf3ce091e,4447,debit,-849.02,2023-05-24 15:37:20
85b3fcf6-85ae-45e8-85b8-da941802367a,2003,debit,-336.69,2023-04-07 13:18:27
91fa4b13-e7c8-4cd0-b433-871f471701f0,4058,credit,553.15,2022-11-08 06:44:50
0dd9241f-b263-47d9-bfb8-4c06f75630e9,1415,credit,511.87,2023-04-15 15:15:13
9d402c7e-14a0-4ab8-b6e1-a69dbec5b871,7044,debit,-644.49,2023-05-17 12:33:05
faee464b-84bb-44ce-aa4f-54847f7bee03,9686,debit,-624.79,2023-03-25 17:20:41
dc36d3c2-4513-4548-96bd-ba7a80c28b08,3981,credit,915.54,2023-05-03 12:06:06
8592dc31-4261-47ef-8652-f4af678a988f,2890,credit,628.27,2022-09-25 06:05:37
68149688-8933-4912-81c9-4372901236b2,8764,debit,-967.79,2022-12-21 01:33:06
e6756d41-3d98-44d3-8f90-1c819c7dca1a,3114,debit,-744.66,2023-04-29 17:03:09
f18ea23b-d0d0-4cfc-b89d-7f821e1be6d3,2992,credit,422.22,2023-08-06 01:02:26
b6176f09-d423-4bd7-b445-93a76e4c7b4b,7718,debit,-573.91,2022-08-17 13:21:58
02cd4947-b09d-4f89-a4a7-8e06ae76b74d,3864,credit,882.02,2023-05-27 00:09:42
f85caf29-bc72-4518-9348-db7cd67b0a49,2533,debit,-102.28,2022-10-17 07:43:10
7d06ffc5-6878-4538-b385-47362ccfe5e6,2684,debit,-845.05,2023-04-20 16:04:19
0932ecdd-d528-47b5-8b9c-3a2bbd26098c,3353,debit,-600.51,2022-11-13 12:40:07
3a681e7b-e855-4981-95b2-1e90093c0984,3254,debit,-422.05,2023-02-14 21:13:19
11ee61dd-9f03-4f10-9c9a-97a0622ae437,7385,debit,-484.57,2023-03-10 12:05:26
